20170101		元旦3天假 + 易

20170102		元旦3天假 + 易
20170103		易 + 医
20170104		易 + 练手APP
20170105		易 + 医 + 练手APP
20170106		易 + 医 + 练手APP
20170107		易 + 练手APP
20170108		易 

20170109		易 + 练手APP
20170110		易 + 练手APP
20170111		易 + 练手APP
20170112		易 + 医 + 练手APP
20170113		易 + 练手APP
20170114		易
20170115		易

20170116		易
20170117		易
20170118		易 + 练手APP
20170119		易
20170120		易 + 医
20170121		易
20170122		春节放假回长沙

20170123		春节放假 长沙
20170124		春节放假 长沙->常德
20170125		春节放假 常德
20170126		春节放假 常德
20170127		春节放假 常德
20170128		春节放假 常德
20170129		春节放假 常德

20170130		春节放假 常德
20170201		春节放假 常德->长沙
20170202		春节放假 长沙
20170203		春节放假 长沙->常德
20170204		春节放假 常德->深圳
20170205		开工上班 易		
