20160101	三天假 + <易经证释>
20160102	三天假 + <易经证释>
20160103	三天假 + <易经证释>

20160104	<易经证释>
20160105	<易经证释>完
20160106	易杂易思
20160107	易杂易思
20160108	易杂易思
20160109	易杂易思 + <周易浅述>
20160110	易杂易思

20160111	<周易浅述>
20160112	<周易浅述>
20160113	<周易浅述>
20160114	易杂易思
20160115	易杂易思
20160116	休息
20160117	休息

20160118	丧假-回长沙



20160227	回深圳
20160228	休息

20160229	回公司交接
20160301	易思
20160302	易思
20160303	易思
20160304	易思
20160305	休息
20160306	易杂

20160307	易杂
20160308	易杂
20160309	易杂 + 医
20160310	易杂 + 医
20160311	易杂 + 命理
20160312	易杂 + 命理
20160313	易杂 + 命理

20160314	易杂 + 命理
20160315	易杂
20160316	易杂
20160317	易杂
20160318	易杂
20160319	休息
20160320	休息

20160321	待业 易杂 + <伤寒论>
20160322	易杂 + 医
20160323	易杂 + 医
20160324	易杂 + 医
20160325	易杂 + 医
20160326	易杂 + 医
20160327	医

20160328	医
20160329	回长沙
20160330	办事
20160331	办事
20160401	扫墓
20160402	易
20160403	易

20160404	易
20160405	易
20160406	常德 + 易
20160407	命理
20160408	命理
20160409	回长沙
20160410	Null

20160411	回深圳
20160412	Null
20160413	易
20160414	易
20160415	易
20160416	数字水印prj
20160417	Null

20160418	Null
20160419	Null
20160420	易杂 + 装系统
20160421	易杂 + android
20160422	android学习 + 易杂
20160423	android学习 + 易杂
20160424	android学习 + 易杂

20160425	android学习 + 易杂
20160426	面试 + 易杂
20160427	面试 + 易杂
20160428	易杂
20160429	技术杂
20160430	51放假
20160501	51放假

20160502	51放假 + 技术杂
20160503	新工作第一天
20160504	working
20160505	working + 易杂
20160506	working + 易杂
20160507	working + 易杂 
20150508	休息

20160509	working
20160510	working + 易杂
20160511	working
20160512	working + 易杂
20160513	working + 易杂 + LFS
20160514	working + 易杂
20160515	休息

20160516	working + 医杂 + LFS + aircrack
20160517	working + LFS
20160518	working + 医杂
20160519	working + 医杂
20160520	working + 医杂
20160521	working + 医杂
20160522	休息

20160523	working + 医杂
20160524	working + 医杂
20160525	working 
20160526	working 
20160527	working + 易医 
20160528	working + 易医
20160529	休息

20160530	working + 易医
20160531	working + 易
20160601	working + 易
20160602	working + 易
20160603	working + 易
20160604	working + 医
20160605	休息

20160606	working + 医
20160607	working + 医
20160608	working + 医
20160609	端午放假
20160610	端午放假
20160611	端午放假
20160612	医

20160613	医
20160614	医
20160615	医
20160616	医
20160617	医
20160618	医
20160619	休息

20160620	医
20160621	医
20160622	医
20160623	医
20160624	医
20160625	医
20160626	休息

20160627	医
20160628	医
20160629	医
20160630	医
20160701	医
20160702	医
20160703	休息

20160704	医 + 易
20160705	医 + 易
20160706	医 + 易
20160707	医
20160708	医 
20160709	医 
20160710	易

20160711	医 + 易
20160712	医 + 易
20160713	医
20160714	易
20160715	易
20160716	易
20160717	休息

20160718	易
20160719	易
20160720	易
20160721	易
20160722	易
20160723	易
20160724	休息

20160725	易
20160726	易
20160727	易
20160728	易
20160729	易
20160730	易
20160731	易

20160801	易
20160802	台风来 休息 + 易
20160803	易
20160804	医 + 易
